century,tried,gadm.adm0
1400,2,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,17,Switzerland
1400,17,Switzerland
1400,17,Switzerland
1400,17,Switzerland
1400,17,Switzerland
1400,11,Switzerland
1400,11,Switzerland
1400,11,Switzerland
1400,11,Switzerland
1400,11,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,21,Switzerland
1400,21,Switzerland
1400,21,Switzerland
1400,21,Switzerland
1400,21,Switzerland
1400,7,Switzerland
1400,7,Switzerland
1400,7,Switzerland
1400,7,Switzerland
1400,7,Switzerland
1400,7,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,5,Switzerland
1400,6,Switzerland
1400,1,Switzerland
1400,6,Switzerland
1400,6,Switzerland
1400,6,Switzerland
1400,2,Switzerland
1400,6,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,142,Switzerland
1400,142,Switzerland
1400,142,Switzerland
1400,142,Switzerland
1400,142,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,3,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Austria
1400,1,France
1400,1,France
1400,1,France
1400,4,France
1400,1,France
1400,4,France
1400,1,France
1400,3,France
1400,1,France
1400,8,France
1400,4,Switzerland
1400,1,France
1400,2,France
1400,1,France
1400,11,France
1400,3,France
1400,1,France
1400,1,France
1400,100,Switzerland
1400,1,France
1400,1,France
1400,1,France
1400,1,Germany
1400,3,Germany
1400,18,Germany
1400,18,Germany
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,2,France
1400,2,France
1400,2,France
1400,2,France
1400,2,France
1400,1,Netherlands
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,11,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,3,Germany
1400,1,Germany
1400,1,Germany
1400,40,Germany
1400,8,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,3,Germany
1400,1,Germany
1400,3,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,14,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,Spain
1400,1,Spain
1400,1,Spain
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,United Kingdom
1400,1,United Kingdom
1400,2,United Kingdom
1400,7,United Kingdom
1400,3,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,2,United Kingdom
1400,3,United Kingdom
1400,1,United Kingdom
1400,2,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,2,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,2,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,3,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,1,United Kingdom
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,6,Switzerland
1400,8,Switzerland
1400,1,Switzerland
1400,4,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,2,Switzerland
1400,5,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,3,Netherlands
1400,1,Netherlands
1400,1,Netherlands
1400,1,Netherlands
1400,3,Netherlands
1400,1,Switzerland
1400,1,Poland
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,Germany
1400,2,Germany
1400,3,Germany
1400,1,Germany
1400,1,Germany
1400,1,France
1400,4,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,40,Italy
1400,1,Italy
1400,1,France
1400,1,France
1400,3,France
1400,1,France
1400,4,France
1400,1,France
1400,1,France
1400,12,France
1400,4,France
1400,35,France
1400,1,France
1400,2,Poland
1400,1,Poland
1400,2,Poland
1400,1,Poland
1400,1,Poland
1400,1,Poland
1400,2,Poland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,5,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,4,Switzerland
1400,1,Switzerland
1400,4,Germany
1400,1,Germany
1400,2,Germany
1400,2,Germany
1400,1,Germany
1400,1,France
1400,1,France
1400,2,France
1400,1,France
1400,2,France
1400,1,France
1400,34,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,3,France
1400,3,Italy
1400,2,Italy
1400,5,Italy
1400,1,France
1400,1,France
1400,1,France
1400,1,Germany
1400,1,Germany
1400,30,Germany
1400,1,France
1400,167,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,2,France
1400,1,France
1400,1,France
1400,3,France
1400,4,France
1400,1,France
1400,1,France
1400,8,France
1400,1,France
1400,2,France
1400,1,France
1400,1,France
1400,1,France
1400,1,France
1400,1,Germany
1400,1,Switzerland
1400,1,United Kingdom
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,32,Switzerland
1400,1,Switzerland
1400,2,Austria
1400,1,Austria
1400,57,Austria
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,2,Italy
1400,1,Italy
1400,2,Italy
1400,1,Italy
1400,1,Italy
1400,1,Italy
1400,1,Netherlands
1400,1,Netherlands
1400,2,Netherlands
1400,1,Netherlands
1400,1,Switzerland
1400,100,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,France
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,2,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Italy
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,2,Belgium
1400,1,Poland
1400,1,Austria
1400,1,Netherlands
1400,1,Netherlands
1400,1,Netherlands
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,Switzerland
1400,1,France
1400,2,France
1400,1,Switzerland
1400,1,Switzerland
1400,1,France
1400,1,France
1400,2,France
1400,1,France
1400,1,France
1400,2,France
1400,1,France
1400,1,France
1400,1,Netherlands
1400,1,Netherlands
1400,3,Luxembourg
1400,1,France
1400,1,France
1400,1,Netherlands
1400,1,France
1400,1,France
1400,1,Switzerland
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,2,Germany
1400,2,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,48,Germany
1400,6,Germany
1400,1,Germany
1400,1,Germany
1400,1,Germany
1400,1,Switzerland
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,1,Belgium
1400,2,Belgium
1400,2,Netherlands
1400,1,Netherlands
1400,1,Netherlands
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,1,Germany
1400,2,Germany
1400,1,Germany
1400,6,Germany
