century,tried,gadm.adm0
1300,10,Switzerland
1300,10,Switzerland
1300,10,Switzerland
1300,10,Switzerland
1300,10,Switzerland
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,3,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,36,France
1300,54,France
1300,39,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,1,France
1300,2,France
1300,1,France
1300,2,France
1300,3,France
1300,1,France
1300,1,France
1300,1,Germany
1300,1,Switzerland
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Germany
1300,1,Switzerland
1300,14,Germany
1300,5,Germany
1300,1,Belgium
1300,1,France
1300,1,France
1300,6,France
1300,1,United Kingdom
1300,1,United Kingdom
1300,1,United Kingdom
1300,1,United Kingdom
1300,1,United Kingdom
1300,28,United Kingdom
1300,1,United Kingdom
1300,3,United Kingdom
1300,1,United Kingdom
1300,1,United Kingdom
1300,1,United Kingdom
1300,1,United Kingdom
1300,2,United Kingdom
1300,1,United Kingdom
1300,1,Switzerland
1300,1,Switzerland
1300,3,France
1300,1,France
1300,3,France
1300,1,France
1300,1,France
1300,2,France
1300,1,France
1300,1,France
1300,2,France
1300,2,France
1300,2,France
1300,2,France
1300,1,France
1300,1,France
1300,2,Czech Republic
1300,12,Ireland
1300,1,France
1300,1,France
1300,2,France
1300,1,France
1300,1,Italy
1300,1,Italy
1300,1,Italy
1300,1,Italy
1300,2,France
1300,4,France
1300,1,Switzerland
1300,1,Italy
1300,6,France
1300,1,France
1300,2,France
1300,1,France
1300,5,France
1300,1,Austria
1300,1,France
1300,1,France
1300,1,France
1300,1,Germany
1300,1,France
1300,1,Italy
1300,1,Italy
1300,1,France
1300,1,France
1300,1,France
1300,2,France
1300,1,France
1300,2,France
1300,2,France
1300,1,France
1300,1,Austria
1300,1,Switzerland
1300,1,Italy
1300,1,Italy
1300,1,Italy
1300,1,Italy
1300,1,Italy
1300,1,Italy
1300,2,Italy
1300,1,Netherlands
1300,1,Netherlands
1300,1,Italy
1300,1,France
1300,1,France
1300,3,France
1300,1,France
1300,1,France
1300,1,France
1300,1,Austria
1300,1,Austria
1300,1,France
1300,1,Austria
1300,2,France
1300,1,Austria
1300,1,Italy
1300,1,France
1300,1,Switzerland
1300,1,Germany
1300,2,Netherlands
