century,tried,gadm.adm0
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,4,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,9,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,4,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,10,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,15,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,7,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,7,Germany
1600,1,Germany
1600,8,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,8,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,10,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,3,Germany
1600,20,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,7,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,5,Germany
1600,1,Germany
1600,9,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,7,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,7,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,10,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,7,Germany
1600,2,Germany
1600,20,Germany
1600,80,Germany
1600,22,Germany
1600,23,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,40,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
