century,tried,gadm.adm0
1700,5,Estonia
1700,5,Estonia
1700,106,Hungary
1700,217,Hungary
1700,227,Hungary
1700,180,Hungary
1700,185,Hungary
1700,143,Hungary
1700,47,Hungary
1700,8,Hungary
1700,2,Norway
1700,2,Norway
1700,1,Norway
1700,6,Norway
1700,1,Norway
1700,1,Norway
1700,1,Switzerland
1700,34,Switzerland
1700,15,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,30,Switzerland
1700,30,Switzerland
1700,30,Switzerland
1700,30,Switzerland
1700,30,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,2,Switzerland
1700,2,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,1,Switzerland
1700,9,Switzerland
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,3,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,5,Germany
1700,1,Germany
1700,6,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,7,Germany
1700,1,Germany
1700,12,Germany
1700,5,Germany
1700,1,Germany
1700,3,Germany
1700,1,Germany
1700,1,Germany
1700,3,Germany
1700,1,Germany
1700,5,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,4,Germany
1700,1,Germany
1700,4,Germany
1700,4,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,4,Germany
1700,10,Germany
1700,1,Germany
1700,4,Germany
1700,2,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,3,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,2,Germany
1700,2,Germany
1700,12,Germany
1700,1,Germany
1700,1,Germany
1700,7,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,2,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,7,Germany
1700,9,Germany
1700,3,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,7,Germany
1700,1,Germany
1700,22,Germany
1700,2,Germany
1700,1,Germany
1700,5,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,5,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,5,Germany
1700,1,Germany
1700,6,Germany
1700,8,Germany
1700,1,Germany
1700,5,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,11,Germany
1700,6,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,13,Germany
1700,3,Germany
1700,5,Germany
1700,5,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,31,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,7,Germany
1700,14,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,3,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,4,Germany
1700,1,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,3,Germany
1700,3,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,2,Germany
1700,2,Germany
1700,1,Germany
1700,2,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,3,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,3,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,4,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,7,Germany
1700,1,France
1700,1,France
1700,3,France
1700,29,France
1700,1,France
1700,1,France
1700,8,United Kingdom
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,France
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,3,United Kingdom
1700,1,United Kingdom
1700,3,Netherlands
1700,1,Netherlands
1700,1,Germany
1700,2,Germany
1700,124,Germany
1700,2,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,1,United Kingdom
1700,4,United Kingdom
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Germany
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
1700,1,Sweden
