century,tried,gadm.adm0
1500,1,Estonia
1500,1,Estonia
1500,5,Estonia
1500,7,Estonia
1500,11,Estonia
1500,1,Finland
1500,8,Finland
1500,12,Finland
1500,16,Finland
1500,22,Finland
1500,15,Finland
1500,8,Finland
1500,3,Hungary
1500,3,Hungary
1500,3,Hungary
1500,3,Hungary
1500,5,Hungary
1500,5,Hungary
1500,17,Hungary
1500,8,Hungary
1500,4,Norway
1500,25,Norway
1500,17,Norway
1500,16,Norway
1500,7,Switzerland
1500,7,Switzerland
1500,7,Switzerland
1500,7,Switzerland
1500,1,Switzerland
1500,7,Switzerland
1500,7,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,2,Switzerland
1500,5,Switzerland
1500,5,Switzerland
1500,5,Switzerland
1500,5,Switzerland
1500,5,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,4,Switzerland
1500,14,Switzerland
1500,14,Switzerland
1500,14,Switzerland
1500,14,Switzerland
1500,14,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,5,Switzerland
1500,1,Switzerland
1500,5,Switzerland
1500,1,Switzerland
1500,5,Switzerland
1500,1,Switzerland
1500,5,Switzerland
1500,1,Switzerland
1500,5,Switzerland
1500,1,Switzerland
1500,100,Switzerland
1500,1,Switzerland
1500,100,Switzerland
1500,3,Switzerland
1500,1,Switzerland
1500,100,Switzerland
1500,3,Switzerland
1500,1,Switzerland
1500,100,Switzerland
1500,3,Switzerland
1500,1,Switzerland
1500,100,Switzerland
1500,3,Switzerland
1500,1,Switzerland
1500,30,Switzerland
1500,30,Switzerland
1500,30,Switzerland
1500,30,Switzerland
1500,30,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,3,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,1,Switzerland
1500,20,Switzerland
1500,20,Switzerland
1500,20,Switzerland
1500,20,Switzerland
1500,20,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,3,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,6,Switzerland
1500,1,Switzerland
1500,6,Switzerland
1500,1,Switzerland
1500,6,Switzerland
1500,1,Switzerland
1500,6,Switzerland
1500,1,Switzerland
1500,6,Switzerland
1500,1,Switzerland
1500,2,Switzerland
1500,311,Switzerland
1500,7,Switzerland
1500,7,Switzerland
1500,7,Switzerland
1500,7,Switzerland
1500,16,Switzerland
1500,16,Switzerland
1500,16,Switzerland
1500,16,Switzerland
1500,16,Switzerland
1500,16,Switzerland
1500,2,Germany
1500,1,Germany
1500,6,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,2,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,2,Germany
1500,1,Germany
1500,1,Germany
1500,2,Germany
1500,1,Germany
1500,1,Germany
1500,2,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,4,Germany
1500,1,Germany
1500,10,Germany
1500,1,Germany
1500,1,Germany
1500,2,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,3,Germany
1500,1,Germany
1500,2,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,2,Germany
1500,2,Germany
1500,1,Germany
1500,10,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
1500,1,Germany
